day,day_of_week,poms_tot,poms_tot_w,poms_tot_g,poms_tot_h,poms_tot_m,inters_tot,inters_tot_p,inters_tot_m,inters_tot_s,inters_tot_o
20160405,Tuesday,13,7,3,3,0,3,1,0,1,1
20160406,Wednesday,8,8,0,0,0,3,1,1,0,1
20160407,Thursday,9,5,2,2,0,7,3,2,1,1
20160408,Friday,7,7,0,0,0,1,0,0,1,0
20160409,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160410,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160411,Monday,10,8,1,1,0,6,6,0,0,0
20160412,Tuesday,12,9,2,1,0,4,3,1,0,0
20160413,Wednesday,8,6,1,1,0,5,3,2,0,0
20160414,Thursday,10,6,2,2,0,3,1,0,2,0
20160415,Friday,8,7,0,1,0,5,2,2,1,0
20160416,Saturday,4,0,4,0,0,NA,NA,NA,NA,NA
20160417,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160418,Monday,17,9,6,2,0,4,3,0,1,0
20160419,Tuesday,12,6,4,2,0,7,5,0,2,0
20160420,Wednesday,12,8,2,2,0,4,4,0,0,0
20160421,Thursday,14,10,2,2,0,3,2,1,0,0
20160422,Friday,13,6,5,2,0,4,1,3,0,0
20160423,Saturday,9,0,3,2,4,NA,NA,NA,NA,NA
20160424,Sunday,6,0,1,0,5,NA,NA,NA,NA,NA
20160425,Monday,16,10,3,3,0,2,2,0,0,0
20160426,Tuesday,9,6,0,0,3,4,0,1,3,0
20160427,Wednesday,10,8,1,1,0,1,0,0,0,1
20160428,Thursday,15,4,8,0,3,2,2,0,0,0
20160429,Friday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160430,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160501,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160502,Monday,19,7,7,2,3,2,1,0,1,0
20160503,Tuesday,20,10,5,3,2,2,0,0,2,0
20160504,Wednesday,12,8,3,1,0,3,2,0,1,0
20160505,Thursday,18,11,3,2,2,4,2,1,0,1
20160506,Friday,7,7,0,0,0,6,0,4,2,0
20160507,Saturday,7,0,5,0,2,NA,NA,NA,NA,NA
20160508,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160509,Monday,11,8,2,1,0,10,8,0,1,1
20160510,Tuesday,12,7,3,0,2,6,6,0,0,0
20160511,Wednesday,10,6,1,2,1,7,3,2,2,0
20160512,Thursday,14,9,3,2,0,4,3,0,0,1
20160513,Friday,13,9,3,1,0,4,2,1,1,0
20160514,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160515,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160516,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160517,Tuesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160518,Wednesday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160519,Thursday,14,8,4,2,0,5,3,1,1,0
20160520,Friday,14,6,6,1,1,4,1,2,1,0
20160521,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160522,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160523,Monday,13,11,1,1,0,10,6,2,2,0
20160524,Tuesday,6,5,0,1,0,4,2,0,2,0
20160525,Wednesday,16,9,4,1,2,4,3,1,0,0
20160526,Thursday,10,8,1,1,0,6,2,2,1,1
20160527,Friday,10,8,1,1,0,6,4,1,1,0
20160528,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160529,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160530,Monday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160531,Tuesday,10,8,1,1,0,2,2,0,0,0
20160601,Wednesday,12,7,2,2,1,5,3,1,1,0
20160602,Thursday,12,10,1,1,0,10,5,2,3,0
20160603,Friday,13,9,2,2,0,7,2,4,1,0
20160604,Saturday,8,0,7,1,0,NA,NA,NA,NA,NA
20160605,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160606,Monday,11,7,1,3,0,7,3,3,1,0
20160607,Tuesday,13,9,1,3,0,4,1,1,2,0
20160608,Wednesday,14,7,6,1,0,2,0,0,1,1
20160609,Thursday,13,6,4,1,2,NA,NA,NA,NA,NA
20160610,Friday,11,9,1,1,0,3,2,0,1,0
20160611,Saturday,1,0,1,0,0,NA,NA,NA,NA,NA
20160612,Sunday,4,0,2,0,2,NA,NA,NA,NA,NA
20160613,Monday,15,8,6,0,1,4,2,2,0,0
20160614,Tuesday,11,10,0,1,0,6,2,3,1,0
20160615,Wednesday,15,9,5,0,1,5,2,3,0,0
20160616,Thursday,14,8,5,1,0,4,0,3,1,0
20160617,Friday,8,8,0,0,0,5,3,0,0,2
20160618,Saturday,4,3,0,0,1,NA,NA,NA,NA,NA
20160619,Sunday,5,0,1,2,2,NA,NA,NA,NA,NA
20160620,Monday,8,8,0,0,0,10,8,1,1,0
20160621,Tuesday,16,7,5,1,3,3,2,0,1,0
20160622,Wednesday,11,10,1,0,0,4,3,0,1,0
20160623,Thursday,15,8,5,1,1,3,1,1,1,0
20160624,Friday,6,2,2,0,2,3,1,1,1,0
20160625,Saturday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160626,Sunday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20160627,Monday,15,13,2,0,0,8,5,1,1,1
20160628,Tuesday,12,6,3,2,1,11,5,3,1,2
20160629,Wednesday,5,1,2,2,0,NA,NA,NA,NA,NA
20160630,Thursday,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
